title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
Donnie Darko,113,Drama;Sci-Fi,Richard Kelly,Richard Kelly,Jake Gyllenhaal;Jena Malone;Mary McDonnell,8.1,536735
Jurassic Park,127,Adventure;Sci-Fi;Thriller,Steven Spielberg,Michael Crichton;Michael Crichton,Sam Neill;Laura Dern;Jeff Goldblum,8.1,543122
8½,138,Drama,Federico Fellini,Federico Fellini;Ennio Flaiano,Marcello Mastroianni;Anouk Aimée;Claudia Cardinale,8.1,72091
Strangers on a Train,101,Crime;Film-Noir;Thriller,Alfred Hitchcock,Raymond Chandler;Czenzi Ormonde,Farley Granger;Robert Walker;Ruth Roman,8.1,87725
Before Sunrise,105,Drama;Romance,Richard Linklater,Richard Linklater;Kim Krizan,Ethan Hawke;Julie Delpy;Andrea Eckert,8.1,164797
Twelve Monkeys,129,Mystery;Sci-Fi;Thriller,Terry Gilliam,Chris Marker;David Webb Peoples,Bruce Willis;Madeleine Stowe;Brad Pitt,8.1,427432
The Avengers,143,Action;Adventure;Sci-Fi,Joss Whedon,Joss Whedon;Zak Penn,Robert Downey Jr.;Chris Evans;Scarlett Johansson,8.1,893427
The Terminator,107,Action;Sci-Fi,James Cameron,James Cameron;Gale Anne Hurd,Arnold Schwarzenegger;Linda Hamilton;Michael Biehn,8.1,546017
Mou gaan dou,101,Crime;Mystery;Thriller,Wai-Keung Lau;Alan Mak,Alan Mak;Felix Chong,Andy Lau;Tony Chiu Wai Leung;Anthony Chau-Sang Wong,8.1,84795
Jaws,124,Adventure;Drama;Thriller,Steven Spielberg,Peter Benchley;Carl Gottlieb,Roy Scheider;Robert Shaw;Richard Dreyfuss,8.1,376321
Groundhog Day,101,Comedy;Fantasy;Romance,Harold Ramis,Danny Rubin;Harold Ramis,Bill Murray;Andie MacDowell;Chris Elliott,8.1,396934
"Monsters, Inc.",92,Animation;Adventure;Comedy,Pete Docter;David Silverman,Pete Docter;Jill Culton,Billy Crystal;John Goodman;Mary Gibbs,8.1,522177
De slag om Algiers,121,Drama;History;War,Gillo Pontecorvo,Gillo Pontecorvo;Franco Solinas,Brahim Hadjadj;Jean Martin;Yacef Saadi,8.2,33491
Salinui chueok,130,Crime;Drama;Mystery,Joon-ho Bong,Joon-ho Bong;Kwang-rim Kim,Kang-ho Song;Sang-kyung Kim;Roe-ha Kim,8.1,57425
The Truman Show,103,Drama,Peter Weir,Andrew Niccol,Jim Carrey;Ed Harris;Laura Linney,8.1,603860
Harry Potter and the Deathly Hallows: Part 2,130,Adventure;Drama;Fantasy,David Yates,Steve Kloves;J.K. Rowling,Daniel Radcliffe;Emma Watson;Rupert Grint,8.1,484844
Kumonosu-jô,110,Drama,Akira Kurosawa,Hideo Oguni;Shinobu Hashimoto,Toshirô Mifune;Minoru Chiaki;Isuzu Yamada,8.2,27446
Guardians of the Galaxy,121,Action;Adventure;Sci-Fi,James Gunn,James Gunn;Nicole Perlman,Chris Pratt;Vin Diesel;Bradley Cooper,8.1,565789
